  N    x           HTOP        FLXT        HBOT        FLXB        FINT        AIRG
    1  0.3720E-02  0.7477E+04  0.4638E+07  0.7477E+04  0.4638E+07  0.1698E-01  0.7261E-06
    2  0.1116E-01  0.7477E+04  0.4583E+07  0.7477E+04  0.4583E+07  0.5552E-01  0.6244E-05
    3  0.1860E-01  0.7477E+04  0.4526E+07  0.7477E+04  0.4526E+07  0.9928E-01  0.1292E-04
    4  0.2604E-01  0.7477E+04  0.4477E+07  0.7477E+04  0.4477E+07  0.1463E+00  0.2033E-04
    5  0.3348E-01  0.7477E+04  0.4432E+07  0.7477E+04  0.4432E+07  0.1964E+00  0.2841E-04
    6  0.4092E-01  0.7477E+04  0.4382E+07  0.7477E+04  0.4382E+07  0.2477E+00  0.3675E-04
    7  0.4836E-01  0.7477E+04  0.4340E+07  0.7477E+04  0.4340E+07  0.3013E+00  0.4562E-04
    8  0.5580E-01  0.7041E+04  0.4060E+07  0.7041E+04  0.4060E+07  0.3523E+00  0.5392E-04
    9  0.6324E-01  0.6485E+04  0.3724E+07  0.6485E+04  0.3724E+07  0.3999E+00  0.6144E-04
   10  0.7068E-01  0.5842E+04  0.3350E+07  0.5842E+04  0.3350E+07  0.4435E+00  0.6808E-04
   11  0.7812E-01  0.5152E+04  0.2957E+07  0.5152E+04  0.2957E+07  0.4825E+00  0.7371E-04
   12  0.8556E-01  0.4457E+04  0.2564E+07  0.4457E+04  0.2564E+07  0.5166E+00  0.7824E-04
   13  0.9300E-01  0.3779E+04  0.2182E+07  0.3779E+04  0.2182E+07  0.5463E+00  0.8180E-04
   14  0.1004E+00  0.3141E+04  0.1823E+07  0.3141E+04  0.1823E+07  0.5719E+00  0.8442E-04
   15  0.1079E+00  0.2567E+04  0.1498E+07  0.2567E+04  0.1498E+07  0.5932E+00  0.8612E-04
   16  0.1153E+00  0.2063E+04  0.1211E+07  0.2063E+04  0.1211E+07  0.6109E+00  0.8700E-04
   17  0.1228E+00  0.1627E+04  0.9605E+06  0.1627E+04  0.9605E+06  0.6255E+00  0.8720E-04
   18  0.1302E+00  0.1264E+04  0.7500E+06  0.1264E+04  0.7500E+06  0.6373E+00  0.8677E-04
   19  0.1376E+00  0.9712E+03  0.5789E+06  0.9712E+03  0.5789E+06  0.6465E+00  0.8576E-04
   20  0.1451E+00  0.7405E+03  0.4431E+06  0.7405E+03  0.4431E+06  0.6536E+00  0.8429E-04
   21  0.1525E+00  0.5584E+03  0.3354E+06  0.5584E+03  0.3354E+06  0.6591E+00  0.8247E-04
   22  0.1600E+00  0.5000E+03  0.3011E+06  0.5000E+03  0.3011E+06  0.6638E+00  0.8048E-04
   23  0.1674E+00  0.5000E+03  0.3016E+06  0.5000E+03  0.3016E+06  0.6684E+00  0.7845E-04
   24  0.1748E+00  0.5000E+03  0.3021E+06  0.5000E+03  0.3021E+06  0.6727E+00  0.7636E-04
   25  0.1823E+00  0.5000E+03  0.3024E+06  0.5000E+03  0.3024E+06  0.6769E+00  0.7424E-04
   26  0.1897E+00  0.5000E+03  0.3027E+06  0.5000E+03  0.3027E+06  0.6808E+00  0.7207E-04
   27  0.1972E+00  0.5000E+03  0.3029E+06  0.5000E+03  0.3029E+06  0.6847E+00  0.6987E-04
   28  0.2046E+00  0.5000E+03  0.3030E+06  0.5000E+03  0.3030E+06  0.6885E+00  0.6767E-04
   29  0.2120E+00  0.5000E+03  0.3032E+06  0.5000E+03  0.3032E+06  0.6923E+00  0.6548E-04
   30  0.2195E+00  0.5000E+03  0.3032E+06  0.5000E+03  0.3032E+06  0.6962E+00  0.6329E-04
   31  0.2269E+00  0.5000E+03  0.3033E+06  0.5000E+03  0.3033E+06  0.7001E+00  0.6110E-04
   32  0.2344E+00  0.5000E+03  0.3033E+06  0.5000E+03  0.3033E+06  0.7039E+00  0.5891E-04
   33  0.2418E+00  0.5000E+03  0.3033E+06  0.5000E+03  0.3033E+06  0.7078E+00  0.5673E-04
   34  0.2492E+00  0.5000E+03  0.3033E+06  0.5000E+03  0.3033E+06  0.7118E+00  0.5456E-04
   35  0.2567E+00  0.5000E+03  0.3033E+06  0.5000E+03  0.3033E+06  0.7157E+00  0.5239E-04
   36  0.2641E+00  0.5000E+03  0.3032E+06  0.5000E+03  0.3032E+06  0.7197E+00  0.5022E-04
   37  0.2716E+00  0.5000E+03  0.3032E+06  0.5000E+03  0.3032E+06  0.7237E+00  0.4805E-04
   38  0.2790E+00  0.5000E+03  0.3031E+06  0.5000E+03  0.3031E+06  0.7276E+00  0.4588E-04
   39  0.2864E+00  0.5000E+03  0.3030E+06  0.5000E+03  0.3030E+06  0.7315E+00  0.4371E-04
   40  0.2939E+00  0.5000E+03  0.3030E+06  0.5000E+03  0.3030E+06  0.7355E+00  0.4153E-04
   41  0.3013E+00  0.5000E+03  0.3029E+06  0.5000E+03  0.3029E+06  0.7394E+00  0.3935E-04
   42  0.3088E+00  0.5000E+03  0.3028E+06  0.5000E+03  0.3028E+06  0.7433E+00  0.3717E-04
   43  0.3162E+00  0.5000E+03  0.3027E+06  0.5000E+03  0.3027E+06  0.7472E+00  0.3499E-04
   44  0.3236E+00  0.5000E+03  0.3026E+06  0.5000E+03  0.3026E+06  0.7510E+00  0.3280E-04
   45  0.3311E+00  0.5000E+03  0.3026E+06  0.5000E+03  0.3026E+06  0.7549E+00  0.3061E-04
   46  0.3385E+00  0.5000E+03  0.3025E+06  0.5000E+03  0.3025E+06  0.7587E+00  0.2841E-04
   47  0.3460E+00  0.5000E+03  0.3024E+06  0.5000E+03  0.3024E+06  0.7625E+00  0.2621E-04
   48  0.3534E+00  0.5000E+03  0.3023E+06  0.5000E+03  0.3023E+06  0.7663E+00  0.2400E-04
   49  0.3608E+00  0.5000E+03  0.3022E+06  0.5000E+03  0.3022E+06  0.7700E+00  0.2178E-04
   50  0.3683E+00  0.5000E+03  0.3020E+06  0.5000E+03  0.3020E+06  0.7737E+00  0.1955E-04
   51  0.3757E+00  0.5000E+03  0.3019E+06  0.5000E+03  0.3019E+06  0.7774E+00  0.1732E-04
   52  0.3832E+00  0.5000E+03  0.3018E+06  0.5000E+03  0.3018E+06  0.7810E+00  0.1508E-04
   53  0.3906E+00  0.5000E+03  0.3017E+06  0.5000E+03  0.3017E+06  0.7846E+00  0.1283E-04
   54  0.3980E+00  0.5000E+03  0.3016E+06  0.5000E+03  0.3016E+06  0.7882E+00  0.1058E-04
   55  0.4055E+00  0.5000E+03  0.3014E+06  0.5000E+03  0.3014E+06  0.7918E+00  0.8332E-05
   56  0.4129E+00  0.5000E+03  0.3013E+06  0.5000E+03  0.3013E+06  0.7953E+00  0.6076E-05
   57  0.4204E+00  0.5000E+03  0.3012E+06  0.5000E+03  0.3012E+06  0.7989E+00  0.3816E-05
   58  0.4278E+00  0.5000E+03  0.3010E+06  0.5000E+03  0.3010E+06  0.8024E+00  0.1549E-05
   59  0.4352E+00  0.5000E+03  0.3009E+06  0.5000E+03  0.3009E+06  0.8059E+00  0.0000E+00
   60  0.4427E+00  0.5000E+03  0.3007E+06  0.5000E+03  0.3007E+06  0.8094E+00  0.0000E+00
   61  0.4501E+00  0.5000E+03  0.3006E+06  0.5000E+03  0.3006E+06  0.8129E+00  0.0000E+00
   62  0.4576E+00  0.5000E+03  0.3004E+06  0.5000E+03  0.3004E+06  0.8163E+00  0.0000E+00
   63  0.4650E+00  0.5000E+03  0.3003E+06  0.5000E+03  0.3003E+06  0.8198E+00  0.0000E+00
   64  0.4724E+00  0.5000E+03  0.3001E+06  0.5000E+03  0.3001E+06  0.8233E+00  0.0000E+00
   65  0.4799E+00  0.5000E+03  0.2999E+06  0.5000E+03  0.2999E+06  0.8267E+00  0.0000E+00
   66  0.4873E+00  0.5000E+03  0.2998E+06  0.5000E+03  0.2998E+06  0.8302E+00  0.0000E+00
   67  0.4948E+00  0.5000E+03  0.2996E+06  0.5000E+03  0.2996E+06  0.8336E+00  0.0000E+00
   68  0.5022E+00  0.5000E+03  0.2994E+06  0.5000E+03  0.2994E+06  0.8371E+00  0.0000E+00
   69  0.5096E+00  0.5000E+03  0.2993E+06  0.5000E+03  0.2993E+06  0.8405E+00  0.0000E+00
   70  0.5171E+00  0.5000E+03  0.2991E+06  0.5000E+03  0.2991E+06  0.8439E+00  0.0000E+00
   71  0.5245E+00  0.5000E+03  0.2989E+06  0.5000E+03  0.2989E+06  0.8473E+00  0.0000E+00
   72  0.5320E+00  0.5000E+03  0.2988E+06  0.5000E+03  0.2988E+06  0.8507E+00  0.0000E+00
   73  0.5394E+00  0.5000E+03  0.2986E+06  0.5000E+03  0.2986E+06  0.8541E+00  0.0000E+00
   74  0.5468E+00  0.5000E+03  0.2984E+06  0.5000E+03  0.2984E+06  0.8574E+00  0.0000E+00
   75  0.5543E+00  0.5000E+03  0.2982E+06  0.5000E+03  0.2982E+06  0.8608E+00  0.0000E+00
   76  0.5617E+00  0.5000E+03  0.2980E+06  0.5000E+03  0.2980E+06  0.8641E+00  0.0000E+00
   77  0.5692E+00  0.5000E+03  0.2979E+06  0.5000E+03  0.2979E+06  0.8674E+00  0.0000E+00
   78  0.5766E+00  0.5000E+03  0.2977E+06  0.5000E+03  0.2977E+06  0.8706E+00  0.0000E+00
   79  0.5840E+00  0.5000E+03  0.2975E+06  0.5000E+03  0.2975E+06  0.8739E+00  0.0000E+00
   80  0.5915E+00  0.5000E+03  0.2973E+06  0.5000E+03  0.2973E+06  0.8771E+00  0.0000E+00
   81  0.5989E+00  0.5000E+03  0.2971E+06  0.5000E+03  0.2971E+06  0.8803E+00  0.0000E+00
   82  0.6064E+00  0.5000E+03  0.2968E+06  0.5000E+03  0.2968E+06  0.8835E+00  0.0000E+00
   83  0.6138E+00  0.5000E+03  0.2966E+06  0.5000E+03  0.2966E+06  0.8867E+00  0.0000E+00
   84  0.6212E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.8869E+00  0.0000E+00
   85  0.6287E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.8870E+00  0.0000E+00
   86  0.6361E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.8870E+00  0.0000E+00
   87  0.6436E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.8870E+00  0.0000E+00
   88  0.6510E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.8870E+00  0.0000E+00
   89  0.6584E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.8870E+00  0.0000E+00
   90  0.6659E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.8870E+00  0.0000E+00
   91  0.6733E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.8870E+00  0.0000E+00
   92  0.6808E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.8870E+00  0.0000E+00
   93  0.6882E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.8870E+00  0.0000E+00
   94  0.6956E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.8870E+00  0.0000E+00
   95  0.7031E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.8870E+00  0.0000E+00
   96  0.7105E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.8870E+00  0.0000E+00
   97  0.7180E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.8870E+00  0.0000E+00
   98  0.7254E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.8870E+00  0.0000E+00
   99  0.7328E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.8870E+00  0.0000E+00
  100  0.7403E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.8870E+00  0.0000E+00
